team,market_value_million_eur
France,1520.0
England,1360.0
Spain,1220.0
Portugal,1010.0
Germany,947.0
Brazil,928.2
Argentina,807.5
Netherlands,754.2
Norway,589.9
Belgium,547.5
Ivory Coast,522.1
Senegal,478.1
Turkey,473.7
Morocco,447.7
Sweden,406.1
Croatia,387.3
United States,385.6
Ecuador,368.7
Uruguay,359.3
Switzerland,332.5
Colombia,302.4
Japan,270.9
Algeria,256.9
Austria,245.2
Ghana,234.5
Canada,198.7
Mexico,191.9
Czechia,188.2
Scotland,170.3
Paraguay,153.7
Bosnia and Herzegovina,146.4
DR Congo,143.9
South Korea,139.1
Egypt,116.5
Uzbekistan,85.3
Australia,77.5
Tunisia,70.0
Haiti,55.9
Cape Verde,49.3
South Africa,49.3
Saudi Arabia,40.7
Panama,34.6
New Zealand,34.5
Iran,32.1
Curacao,25.8
Iraq,21.2
Jordan,20.3
Qatar,19.9
